Array.Data.File,group
GSM558119_MPI-261.CEL,1
GSM558120_MPI-262.CEL,1
GSM558121_MPI-269.CEL,1
GSM558122_MPI-270.CEL,1
GSM558123_MPI-272.CEL,1
GSM558124_MPI-273.CEL,1
GSM558125_MPI-274.CEL,1
GSM558126_MPI-276.CEL,1
GSM558127_MPI-277.CEL,1
GSM558128_MPI-278.CEL,1
GSM558129_MPI-279.CEL,1
GSM558130_MPI-281.CEL,1
GSM558131_MPI-282.CEL,1
GSM558132_MPI-285.CEL,1
GSM558133_MPI-286.CEL,1
GSM558134_MPI-288.CEL,1
GSM558135_MPI-289.CEL,1
GSM558136_MPI-290.CEL,1
GSM558137_MPI-291.CEL,1
GSM558138_MPI-292.CEL,1
GSM558139_MPI-293.CEL,1
GSM558140_MPI-294.CEL,1
GSM558141_MPI-295.CEL,1
GSM558142_MPI-299.CEL,1
GSM558143_MPI-302.CEL,1
GSM558144_MPI-304.CEL,1
GSM558145_MPI-306.CEL,1
GSM558146_MPI-308.CEL,1
GSM558147_MPI-309.CEL,1
GSM558148_MPI-310.CEL,1
GSM558149_MPI-311.CEL,1
GSM558150_MPI-312.CEL,1
GSM558151_MPI-314.CEL,1
GSM558152_MPI-315.CEL,1
GSM558153_MPI-316.CEL,1
GSM558154_MPI-317.CEL,1
GSM558155_MPI-318.CEL,1
GSM558156_MPI-319.CEL,1
GSM558157_MPI-320.CEL,1
GSM558158_MPI-321.CEL,1
GSM558159_MPI-324.CEL,1
GSM558160_MPI-325.CEL,1
GSM558161_MPI-326.CEL,1
GSM558162_MPI-327.CEL,1
GSM558163_MPI-329.CEL,1
GSM558164_MPI-330.CEL,1
GSM558165_MPI-331.CEL,1
GSM558166_MPI-332.CEL,1
GSM558167_MPI-334.CEL,1
GSM558168_MPI-335.CEL,1
GSM558169_MPI-336.CEL,1
GSM558170_MPI-337.CEL,1
GSM558171_MPI-338.CEL,1
GSM558172_MPI-339.CEL,1
GSM558173_MPI-340.CEL,1
GSM558174_MPI-341.CEL,1
GSM558175_MPI-342.CEL,1
GSM558176_MPI-343.CEL,1
GSM558177_MPI-344.CEL,1
GSM558178_MPI-345.CEL,1
GSM558179_MPI-346.CEL,1
GSM558180_MPI-347.CEL,1
GSM558181_MPI-348.CEL,1
GSM558182_MPI-349.CEL,1
GSM558183_MPI-350.CEL,1
GSM558184_MPI-351.CEL,1
GSM558185_MPI-352.CEL,1
GSM558186_MPI-353.CEL,1
GSM558187_MPI-355.CEL,1
GSM558188_MPI-356.CEL,1
GSM558189_MPI-357.CEL,1
GSM558190_MPI-358.CEL,1
GSM558191_MPI-359.CEL,1
GSM558192_MPI-360.CEL,0
GSM558193_MPI-362.CEL,1
GSM558194_MPI-363.CEL,1
GSM558195_MPI-364.CEL,1
GSM558196_MPI-365.CEL,1
GSM558197_MPI-366.CEL,1
GSM558198_MPI-367.CEL,1
GSM558199_MPI-368.CEL,1
GSM558200_MPI-369.CEL,1
GSM558201_MPI-370.CEL,1
GSM558202_MPI-371.CEL,1
GSM558203_MPI-372.CEL,1
GSM558204_MPI-373.CEL,1
GSM558205_MPI-374.CEL,0
GSM558206_MPI-377.CEL,1
GSM558207_MPI-378.CEL,1
GSM558208_MPI-379.CEL,0
GSM558209_MPI-381.CEL,1
GSM558210_MPI-383.CEL,1
GSM558211_MPI-384.CEL,1
GSM558212_MPI-385.CEL,1
GSM558213_MPI-386.CEL,1
GSM558214_MPI-389.CEL,1
GSM558215_MPI-390.CEL,1
GSM558216_MPI-391.CEL,1
GSM558217_MPI-393.CEL,1
GSM558218_MPI-394.CEL,1
GSM558219_MPI-395.CEL,1
GSM558220_MPI-397.CEL,1
GSM558221_MPI-398.CEL,1
GSM558222_MPI-399.CEL,1
GSM558223_MPI-400.CEL,1
GSM558224_MPI-401.CEL,1
GSM558225_MPI-402.CEL,1
GSM558226_MPI-403.CEL,1
GSM558227_MPI-404.CEL,1
GSM558228_MPI-406.CEL,1
GSM558229_MPI-410.CEL,1
GSM558230_MPI-411.CEL,1
GSM558231_MPI-412.CEL,1
GSM558232_MPI-413.CEL,1
GSM558233_MPI-414.CEL,1
GSM558234_MPI-416.CEL,1
GSM558235_MPI-418.CEL,1
